source,artist,title,artist_romanized,title_romanized,beatmapset_id,beatmap_id,creator,difficulty,audio_filename,tags,osu_beatmapset_url,osu_beatmap_url
osu_api_best,ツユ,過去に囚われている,TUYU,Kako ni Torawarete Iru,1245686,2593880,Keqing,Kowari's Extra,,,https://osu.ppy.sh/beatmapsets/1245686,https://osu.ppy.sh/beatmaps/2593880
osu_api_best,The Beaches,Blame Brett (Sped Up Ver.),,,2505860,5517387,Nymphe,Kumocha's Expert,,,https://osu.ppy.sh/beatmapsets/2505860,https://osu.ppy.sh/beatmaps/5517387
osu_api_best,SPYAIR,サクラミツツキ,,Sakura Mitsutsuki,686601,1453152,Nevo,Petal,,,https://osu.ppy.sh/beatmapsets/686601,https://osu.ppy.sh/beatmaps/1453152
osu_api_best,Demi Lovato,Sorry Not Sorry (Rock Ver.) (Nightcore & Cut Ver.),,,2449469,5369951,Smoke,Share's Expert,,,https://osu.ppy.sh/beatmapsets/2449469,https://osu.ppy.sh/beatmaps/5369951
osu_api_best,The Beaches,Blame Brett (Sped Up & Cut Ver.),,,2413378,5337976,Sapl,Bittersweet,,,https://osu.ppy.sh/beatmapsets/2413378,https://osu.ppy.sh/beatmaps/5337976
osu_api_best,DECO*27,マシュマロ feat. 初音ミク,,Marshmallow feat. Hatsune Miku,2447154,5343381,vastly,Parad0xa's Extra,,,https://osu.ppy.sh/beatmapsets/2447154,https://osu.ppy.sh/beatmaps/5343381
osu_api_best,Cady Groves,This Little Girl (Nightcore & Cut Ver.),,,2379887,5143160,PikAqours,Don't you know?,,,https://osu.ppy.sh/beatmapsets/2379887,https://osu.ppy.sh/beatmaps/5143160
osu_api_best,Take Us To Vegas,For The Love Of The Game,,,2359185,5083730,Share,Let us scream til the morning comes,,,https://osu.ppy.sh/beatmapsets/2359185,https://osu.ppy.sh/beatmaps/5083730
osu_api_best,드림캐쳐,GOOD NIGHT,Dreamcatcher,,603905,1286416,Natsu,toybot's Sunset,,,https://osu.ppy.sh/beatmapsets/603905,https://osu.ppy.sh/beatmaps/1286416
osu_api_best,Krewella,Say Goodbye (Nightcore & Cut Ver.),,,1049899,4633101,A r M i N,kowari's Expert,,,https://osu.ppy.sh/beatmapsets/1049899,https://osu.ppy.sh/beatmaps/4633101
osu_api_best,Paramore,Still Into You (Nightcore & Cut Ver.),,,2499570,5500364,aaeky,Kumocha's Expert,,,https://osu.ppy.sh/beatmapsets/2499570,https://osu.ppy.sh/beatmaps/5500364
osu_api_best,Ke$ha,Backstabber (Sped Up & Cut Ver.),,,1217044,2553327,wetdog123,skylaa's Extra,,,https://osu.ppy.sh/beatmapsets/1217044,https://osu.ppy.sh/beatmaps/2553327
osu_api_best,藍月なくる,Monochrome Butterfly,Aitsuki Nakuru,,770300,1623093,Sotarks,Nevo's Extra,,,https://osu.ppy.sh/beatmapsets/770300,https://osu.ppy.sh/beatmaps/1623093
osu_api_best,Porcelain Black,Pretty Little Psycho (Nightcore & Cut Ver.),,,2390209,5286389,Mita,Reform's Expert,,,https://osu.ppy.sh/beatmapsets/2390209,https://osu.ppy.sh/beatmaps/5286389
osu_api_best,supercell,The Bravery (TV Edit),,,308912,690778,monstrata,Magi,,,https://osu.ppy.sh/beatmapsets/308912,https://osu.ppy.sh/beatmaps/690778
osu_api_best,Take Us To Vegas,For The Love Of The Game (Nightcore & Cut Ver.),,,2282701,4867578,browiec,Extra,,,https://osu.ppy.sh/beatmapsets/2282701,https://osu.ppy.sh/beatmaps/4867578
osu_api_best,SPYAIR,サクラミツツキ (TV Size),,Sakura Mitsutsuki (TV Size),933863,1949536,MiracleE,Aurora,,,https://osu.ppy.sh/beatmapsets/933863,https://osu.ppy.sh/beatmaps/1949536
osu_api_best,Artemas,i like the way you kiss me (DETHVEDA Frenchcore Edit),,,2365162,5123528,Mita,wafwest's Expert,,,https://osu.ppy.sh/beatmapsets/2365162,https://osu.ppy.sh/beatmaps/5123528
osu_api_best,オーイシマサヨシ,インパーフェクト (TV Size),Oishi Masayoshi,Imperfect (TV Size),1443071,2968299,kunka,SSSS,,,https://osu.ppy.sh/beatmapsets/1443071,https://osu.ppy.sh/beatmaps/2968299
