source,artist,title,artist_romanized,title_romanized,beatmapset_id,beatmap_id,creator,difficulty,audio_filename,tags,osu_beatmapset_url,osu_beatmap_url
local,SPYAIR,サクラミツツキ,,Sakura Mitsutsuki,686601,1453152,Nevo,Petal,SPYAIR - Sakura Mitsu Tsuki.mp3,Gintama' Enchousen opening MOKIKEN UZ sunrise jump ShogunMoon byd bite you death armin a_r_m_i_n My Angel Kanan nextplay shunao Shiinoha Kotone,https://osu.ppy.sh/beatmapsets/686601,https://osu.ppy.sh/beatmaps/1453152
local,TK from 凛として時雨,katharsis (TV Size),TK from Ling tosite sigure,,861289,1802103,Monstrata,Normal,audio.mp3,tokyo ghoul re season two 2 opening kaneki ken haise sasaki alternator hey lululu doormat 第2期,https://osu.ppy.sh/beatmapsets/861289,https://osu.ppy.sh/beatmaps/1802103
local,Foreground Eclipse,Storytellers,,,220512,4879023,Laurier,Insane,Foreground Eclipse - Storytellers.ogg,Aruyy Sotarks Wen midorijeon My Angel Eririn めらみぽっぷ meramipop merami teto rock jrock j-rock japanese metal jmetal j-metal doujin screamo C85 comiket 85 Stories That Last Through The Sleepless Nights,https://osu.ppy.sh/beatmapsets/220512,https://osu.ppy.sh/beatmaps/4879023
local,Icon For Hire,Make a Move (Speed Up Ver.),,,765778,1617643,Sotarks,Akitoshi's Normal,audio.mp3,TheFlandreChan Nightcore Flandre Chan KyuubiZz Zuni Scarlet Nightcore4Ever Ever Flan-Chan Ascendance Armin A_r_m_i_n Akitoshi Corinn -Laura- Chromoxx Kyuukai Yaleufeu Lami Naotoshi Nao_Tomori ShogunMoon Shunao Nevo Riven SnowNiNo_ intoon,https://osu.ppy.sh/beatmapsets/765778,https://osu.ppy.sh/beatmaps/1617643
local,Demi Lovato,Sorry Not Sorry (Rock Ver.) (Nightcore & Cut Ver.),,,2449469,5348642,Smoke,Liar,audio.mp3,rock pop english sped speed up remix remake female vocals vocalist Roupus -Quest Take pearto snyc elicj01 Sulli -_Kusanagi_- ErfaniUs Share Kumocha Kuki1537 Ririchi -koreangod1111 Poczwar kayzy Madoo notHardXD chokeHardXD geiboi77 goblinlit themmelon daskenite sync,https://osu.ppy.sh/beatmapsets/2449469,https://osu.ppy.sh/beatmaps/5348642
local,Various Artist,Jump Training #1,,,825086,1732116,Mikojel,Run - Lvl 1,run audio.mp3,,https://osu.ppy.sh/beatmapsets/825086,https://osu.ppy.sh/beatmaps/1732116
local,Turbo,PADORU / PADORU,,,1073074,2245771,Sotarks,Expert,audio.mp3,TurboAutism eurobeats nero claudius christmas xmas remix edit Hashire sori yo Kaze no you ni Tsukimihara wo armin a_r_m_i_n agatsu akitoshi corinn -laura- kowari fieryrage ggf gottagof4st stack kyuukai yaleufeu lasse milan- nao tomori naotoshi nevo realazy reform kujinn shardex shunao shogunmoon smokelind toybot doormat kiyoshi guarden nymphe fatfan kolek haruto haruto_aizawa japanese anime electronic video game jingle bells,https://osu.ppy.sh/beatmapsets/1073074,https://osu.ppy.sh/beatmaps/2245771
local,Ado,唱,,Show,2077229,4359463,iRedi,Hinae's Light Insane,audio.mp3,vanya vanya2 -_nilou_- syndicate_ Hinae FreezingAnimenz Wither Aurorance Mocaotic gazimal Leomine LeomineXD shou アド japanese rock jrock j-rock pop jpop j-pop female vocal giga teddyloid TOPHAMHAT-KYO FAKE TYPE.,https://osu.ppy.sh/beatmapsets/2077229,https://osu.ppy.sh/beatmaps/4359463
local,田村ゆかり,MERRY MERRY MERRY MENU…ね！,Tamura Yukari,MERRY MERRY MERRY MENU... ne!,1321235,2736961,kanpakyin,Muzukashii,audio.mp3,xsrsbsns mythol aabc271 cRyo[iceeicee] japanese pop j-pop jpop harumachi soleil 春待ちソレイユ 20th Anniversary LOVE LIVE 2017 *Crescendo ♡ Carol* movie christmas xmas,https://osu.ppy.sh/beatmapsets/1321235,https://osu.ppy.sh/beatmaps/2736961
local,緑黄色社会,花になって (TV Size),Ryokuoushoku Shakai,Hana ni Natte (TV Size),2083205,4372941,Xahlt,Kyuukai's Special Treatment,audio.ogg,Kusuriya no Hitorigoto The Apothecary Diaries op opening Japanese Anime Jpop J Pop Rock Jrock Maomao 猫猫 長屋晴子 Haruko Nagaya 小林壱誓 Issei Kobayashi peppe 穴見真吾 Shingo Anami リョクシャカ Ryokushaka J-Pop J-Rock Be a Flower kujinn reform imaginative nevlr nevir kyuukai eimi fukada yaleufeu kuon- gweon sua gouuh fuxi66 GNF5,https://osu.ppy.sh/beatmapsets/2083205,https://osu.ppy.sh/beatmaps/4372941
