source,artist,title,spotify_artist,spotify_title,spotify_uri,spotify_url,confidence,status,osu_beatmapset_url
osu_api_best,The Beaches,Blame Brett (Sped Up Ver.),The Beaches,Blame Brett,spotify:track:6twjuBZfRJIZnoHrghzWLk,https://open.spotify.com/track/6twjuBZfRJIZnoHrghzWLk,100.0,matched,https://osu.ppy.sh/beatmapsets/2505860
osu_api_best,Demi Lovato,Sorry Not Sorry (Rock Ver.) (Nightcore & Cut Ver.),Demi Lovato,Sorry Not Sorry,spotify:track:0yvPEnB032fojLfVluFjUv,https://open.spotify.com/track/0yvPEnB032fojLfVluFjUv,100.0,matched,https://osu.ppy.sh/beatmapsets/2449469
osu_api_best,The Beaches,Blame Brett (Sped Up & Cut Ver.),The Beaches,Blame Brett,spotify:track:6twjuBZfRJIZnoHrghzWLk,https://open.spotify.com/track/6twjuBZfRJIZnoHrghzWLk,100.0,matched,https://osu.ppy.sh/beatmapsets/2413378
osu_api_best,Cady Groves,This Little Girl (Nightcore & Cut Ver.),Cady Groves,This Little Girl,spotify:track:245q31NvaFNkMw8QRVy23b,https://open.spotify.com/track/245q31NvaFNkMw8QRVy23b,100.0,matched,https://osu.ppy.sh/beatmapsets/2379887
osu_api_best,Take Us To Vegas,For The Love Of The Game,Take Us To Vegas,For the Love of the Game,spotify:track:5F9lDg7eV6u9GsjLcCZRlp,https://open.spotify.com/track/5F9lDg7eV6u9GsjLcCZRlp,100.0,matched,https://osu.ppy.sh/beatmapsets/2359185
osu_api_best,드림캐쳐,GOOD NIGHT,Dreamcatcher,GOOD NIGHT,spotify:track:5zhuhNkILzHm585h104JlI,https://open.spotify.com/track/5zhuhNkILzHm585h104JlI,100.0,matched,https://osu.ppy.sh/beatmapsets/603905
osu_api_best,Krewella,Say Goodbye (Nightcore & Cut Ver.),Krewella,Say Goodbye,spotify:track:2Hlfm48wmDNFHTZM7qqEWV,https://open.spotify.com/track/2Hlfm48wmDNFHTZM7qqEWV,100.0,matched,https://osu.ppy.sh/beatmapsets/1049899
osu_api_best,Paramore,Still Into You (Nightcore & Cut Ver.),Paramore,Still into You,spotify:track:1yjY7rpaAQvKwpdUliHx0d,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d,100.0,matched,https://osu.ppy.sh/beatmapsets/2499570
osu_api_best,Ke$ha,Backstabber (Sped Up & Cut Ver.),Kesha,Backstabber,spotify:track:4GRFzKI7jTZ3kbMfouc7bn,https://open.spotify.com/track/4GRFzKI7jTZ3kbMfouc7bn,93.0,matched,https://osu.ppy.sh/beatmapsets/1217044
osu_api_best,supercell,The Bravery (TV Edit),supercell,The Bravery -TV Edit-,spotify:track:0GR7rzXfHn60vCEQjd2hrI,https://open.spotify.com/track/0GR7rzXfHn60vCEQjd2hrI,93.81,matched,https://osu.ppy.sh/beatmapsets/308912
