source,artist,title,spotify_artist,spotify_title,spotify_uri,spotify_url,confidence,status,osu_beatmapset_url
local,TK from 凛として時雨,katharsis (TV Size),TK from Ling tosite sigure,katharsis,spotify:track:7MtpXnAhLKdkXjoFaK95TB,https://open.spotify.com/track/7MtpXnAhLKdkXjoFaK95TB,100.0,matched,https://osu.ppy.sh/beatmapsets/861289
local,Foreground Eclipse,Storytellers,Foreground Eclipse,Storytellers,spotify:track:4dLNyPz58eSwVQz6K1JmDQ,https://open.spotify.com/track/4dLNyPz58eSwVQz6K1JmDQ,100.0,matched,https://osu.ppy.sh/beatmapsets/220512
local,Icon For Hire,Make a Move (Speed Up Ver.),Icon For Hire,Make A Move,spotify:track:0FtD1ZukwCnuTfTNuwxrQM,https://open.spotify.com/track/0FtD1ZukwCnuTfTNuwxrQM,100.0,matched,https://osu.ppy.sh/beatmapsets/765778
local,Demi Lovato,Sorry Not Sorry (Rock Ver.) (Nightcore & Cut Ver.),Demi Lovato,Sorry Not Sorry,spotify:track:0yvPEnB032fojLfVluFjUv,https://open.spotify.com/track/0yvPEnB032fojLfVluFjUv,100.0,matched,https://osu.ppy.sh/beatmapsets/2449469
local,Ado,唱,Ado,Show,spotify:track:3K4gshVxh3IBi7XRhKZcp8,https://open.spotify.com/track/3K4gshVxh3IBi7XRhKZcp8,100.0,matched,https://osu.ppy.sh/beatmapsets/2077229
local,田村ゆかり,MERRY MERRY MERRY MENU…ね！,Yukari Tamura,MERRY MERRY MERRY MENU･･･ね!,spotify:track:31c5UYZ4RpGYIMAV2m5x9F,https://open.spotify.com/track/31c5UYZ4RpGYIMAV2m5x9F,90.0,matched,https://osu.ppy.sh/beatmapsets/1321235
local,Pegboard Nerds,Gunslinga (feat. MC Mota),"Pegboard Nerds, MC Mota",Gunslinga,spotify:track:1vKWGVybCJaIDWlqZWJZAc,https://open.spotify.com/track/1vKWGVybCJaIDWlqZWJZAc,92.22,matched,https://osu.ppy.sh/beatmapsets/1234094
local,xi,FREEDOM DiVE↓,XI,Freedom Dive,spotify:track:1DUA8KW4Fes6qfSlNJqvwj,https://open.spotify.com/track/1DUA8KW4Fes6qfSlNJqvwj,100.0,matched,https://osu.ppy.sh/beatmapsets/147210
local,Simple Plan,You Suck At Love (Speed Up Ver.),Simple Plan,You Suck at Love,spotify:track:2khCn0FtcHpiOPRchJxjfs,https://open.spotify.com/track/2khCn0FtcHpiOPRchJxjfs,100.0,matched,https://osu.ppy.sh/beatmapsets/819112
local,THE ORAL CIGARETTES,ERASE,THE ORAL CIGARETTES,ERASE,spotify:track:5Drv786v9viM5BxXZrCOqM,https://open.spotify.com/track/5Drv786v9viM5BxXZrCOqM,100.0,matched,https://osu.ppy.sh/beatmapsets/2491045
local,The Beaches,Blame Brett (Sped Up Ver.),The Beaches,Blame Brett,spotify:track:6twjuBZfRJIZnoHrghzWLk,https://open.spotify.com/track/6twjuBZfRJIZnoHrghzWLk,100.0,matched,https://osu.ppy.sh/beatmapsets/2505860
local,鈴木このみ,Redo,Konomi Suzuki,Redo,spotify:track:0WjYHf18yTqGEQjLRHLNWp,https://open.spotify.com/track/0WjYHf18yTqGEQjLRHLNWp,100.0,matched,https://osu.ppy.sh/beatmapsets/437055
