artist,title,reason,osu_beatmapset_url
ツユ,過去に囚われている,no confident match found,https://osu.ppy.sh/beatmapsets/1245686
SPYAIR,サクラミツツキ,no confident match found,https://osu.ppy.sh/beatmapsets/686601
DECO*27,マシュマロ feat. 初音ミク,no confident match found,https://osu.ppy.sh/beatmapsets/2447154
藍月なくる,Monochrome Butterfly,no confident match found,https://osu.ppy.sh/beatmapsets/770300
Porcelain Black,Pretty Little Psycho (Nightcore & Cut Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2390209
SPYAIR,サクラミツツキ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/933863
Artemas,i like the way you kiss me (DETHVEDA Frenchcore Edit),no confident match found,https://osu.ppy.sh/beatmapsets/2365162
シド,乱舞のメロディ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1189202
MIMI feat. 初音ミク,哀の隙間,no confident match found,https://osu.ppy.sh/beatmapsets/952409
Mrs. GREEN APPLE,青と夏,no confident match found,https://osu.ppy.sh/beatmapsets/1216255
MitiS,Movements (feat. MaHi),no confident match found,https://osu.ppy.sh/beatmapsets/296185
Station Earth,Cold Green Eyes ft. Roos Denayer,no confident match found,https://osu.ppy.sh/beatmapsets/371128
KANA-BOON,シルエット,no confident match found,https://osu.ppy.sh/beatmapsets/399358
星街すいせい,乱舞のメロディ (Cut Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/1483235
さユり,それは小さな光のような (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1123162
SIX LOUNGE,言葉にせずとも (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2260384
キネマ106,銃爆,no confident match found,https://osu.ppy.sh/beatmapsets/2406365
真山りか,Liar Mask anime size,no confident match found,https://osu.ppy.sh/beatmapsets/222671
RADWIMPS,夢灯籠,no confident match found,https://osu.ppy.sh/beatmapsets/597111
Drop,Granat,no confident match found,https://osu.ppy.sh/beatmapsets/497769
暁Records,ENDLESS FANTASY (Short Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2478777
YOASOBI,怪物 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1328989
花たん,エアーマンが倒せない (SOUND HOLIC Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/134151
AKINO from bless4 & CHiCO with HoneyWorks,海色 vs. アイのシナリオ,no confident match found,https://osu.ppy.sh/beatmapsets/325158
"JO☆STARS ～TOMMY, Coda, JIN～",ジョジョ その血の記憶 ~end of THE WORLD~ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2480881
TrySail,うつろい (Short Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/1155295
ポルノグラフィティ,メリッサ (TV size ver.),no confident match found,https://osu.ppy.sh/beatmapsets/423500
MOB CHOIR feat. sajou no hana,99.9 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/907400
9mm Parabellum Bullet,インフェルノ,no confident match found,https://osu.ppy.sh/beatmapsets/482090
senya,感情ケミストリー (Drum 'n' Bass Remix),no confident match found,https://osu.ppy.sh/beatmapsets/92509
藤原千花 (CV: 小原好美),チカっとチカ千花っ♡ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/921889
