artist,title,reason,osu_beatmapset_url
SPYAIR,サクラミツツキ,no confident match found,https://osu.ppy.sh/beatmapsets/686601
Various Artist,Jump Training #1,no confident match found,https://osu.ppy.sh/beatmapsets/825086
Turbo,PADORU / PADORU,no confident match found,https://osu.ppy.sh/beatmapsets/1073074
緑黄色社会,花になって (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2083205
Imperial Circus Dead Decadence,謳,no confident match found,https://osu.ppy.sh/beatmapsets/962562
中原麻衣 & 清水愛,秘密ドールズ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2502608
さユり,それは小さな光のような (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1123162
Station Earth,Cold Green Eyes ft. Roos Denayer,no confident match found,https://osu.ppy.sh/beatmapsets/371128
いきものがかり,热情のスペクトラム,no confident match found,https://osu.ppy.sh/beatmapsets/232935
senya,魂の語りに導かれて,no confident match found,https://osu.ppy.sh/beatmapsets/2129313
Lenny code fiction,脳内 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1077803
XX:me,トリカゴ,no confident match found,https://osu.ppy.sh/beatmapsets/731356
友成空,睨めっ娘,no confident match found,https://osu.ppy.sh/beatmapsets/2369544
ポルノグラフィティ,メリッサ (TV size ver.),no confident match found,https://osu.ppy.sh/beatmapsets/423500
Lime,8bit Voyager,no confident match found,https://osu.ppy.sh/beatmapsets/1225869
Meg & Dia,Monster (DotEXE Remix),no confident match found,https://osu.ppy.sh/beatmapsets/157896
tokiwa,終桜散華,no confident match found,https://osu.ppy.sh/beatmapsets/1387277
Arash,Temptation (feat. Rebecca) (Nightcore Mix),no confident match found,https://osu.ppy.sh/beatmapsets/2235601
TrySail,うつろい (Short Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/1155295
senya,感情ケミストリー (Drum 'n' Bass Remix),no confident match found,https://osu.ppy.sh/beatmapsets/92509
Fireflight,Unbreakable (Nightcore Mix),no confident match found,https://osu.ppy.sh/beatmapsets/210679
9mm Parabellum Bullet,インフェルノ,no confident match found,https://osu.ppy.sh/beatmapsets/482090
AKINO from bless4 & CHiCO with HoneyWorks,海色 vs. アイのシナリオ,no confident match found,https://osu.ppy.sh/beatmapsets/325158
RADWIMPS,夢灯籠,no confident match found,https://osu.ppy.sh/beatmapsets/597111
Getter Jaani,Rockefeller Street (Nightcore Mix),no confident match found,https://osu.ppy.sh/beatmapsets/942866
HyuN feat. YURI,Disorder,no confident match found,https://osu.ppy.sh/beatmapsets/1229471
Team.ねこかん[猫],エアーマンが倒せない,no confident match found,https://osu.ppy.sh/beatmapsets/732994
Ke$ha,Die Young (Nightcore Mix),no confident match found,https://osu.ppy.sh/beatmapsets/2233819
Will Stetson,春待ちクローバー (Swing Arrangement),no confident match found,https://osu.ppy.sh/beatmapsets/859783
Will Stetson,Despacito ft. R3 Music Box,no confident match found,https://osu.ppy.sh/beatmapsets/798007
藤原千花 (CV: 小原好美),チカっとチカ千花っ♡ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/921889
SPYAIR,サクラミツツキ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/933863
Sex Whales & Fraxo,Dead To Me (feat. Lox Chatterbox),no confident match found,https://osu.ppy.sh/beatmapsets/548907
花たん,エアーマンが倒せない (SOUND HOLIC Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/134151
ClariS,コネクト (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1299019
ClariS,ヒトリゴト -TV MIX-,no confident match found,https://osu.ppy.sh/beatmapsets/596704
MOB CHOIR feat. sajou no hana,99.9 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/907400
Hotaru,Serenade of Love,no confident match found,https://osu.ppy.sh/beatmapsets/53847
藍月なくる,Monochrome Butterfly,no confident match found,https://osu.ppy.sh/beatmapsets/770300
nekodex,welcome to christmas!,no confident match found,https://osu.ppy.sh/beatmapsets/1292185
Artemas,i like the way you kiss me (DETHVEDA Frenchcore Edit),no confident match found,https://osu.ppy.sh/beatmapsets/2365162
Haruka Tomatsu,Mushi no Toki,no confident match found,
solfa feat. Ceui,primal,no confident match found,https://osu.ppy.sh/beatmapsets/1591723
Pierce The Veil,King For A Day (feat Kellin Quinn),no confident match found,https://osu.ppy.sh/beatmapsets/297909
dj TAKA,quaver ♪,no confident match found,https://osu.ppy.sh/beatmapsets/873811
YOASOBI,怪物 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1328989
saji,星のオーケストラ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1659754
Lindsey Stirling,Senbonzakura,no confident match found,https://osu.ppy.sh/beatmapsets/277421
-45,嬰児クインビー,no confident match found,https://osu.ppy.sh/beatmapsets/2383183
星街すいせい,乱舞のメロディ (Cut Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/1483235
AKINO with bless4,雪のように,no confident match found,https://osu.ppy.sh/beatmapsets/340412
RADWIMPS,前前前世 (movie ver.),no confident match found,https://osu.ppy.sh/beatmapsets/513590
安月名莉子,keep weaving your spider way (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1346476
Porcelain Black,Pretty Little Psycho (Nightcore & Cut Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2390209
Cö shu Nie,asphyxia (TV edit),no confident match found,https://osu.ppy.sh/beatmapsets/758101
Uru,アンビバレント (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2283631
ももいろクローバーZ,サンタさん,no confident match found,https://osu.ppy.sh/beatmapsets/378183
MitiS,Movements (feat. MaHi),no confident match found,https://osu.ppy.sh/beatmapsets/296185
BLUE ENCOUNT,Polaris (Cut Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/1251736
Various Artists,Jump Training Collection #4,no confident match found,https://osu.ppy.sh/beatmapsets/564538
佐咲紗花,WASTELANDERS (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/405183
Linked Horizon,心臓を捧げよ! [TV Size],no confident match found,https://osu.ppy.sh/beatmapsets/593620
Mrs. GREEN APPLE,青と夏,no confident match found,https://osu.ppy.sh/beatmapsets/1216255
天月,アストロスト (Cut Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/1173442
さユり,平行線 (TV Size & ED Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2293735
藤川千愛,ゴミの日,no confident match found,https://osu.ppy.sh/beatmapsets/1235121
真山りか,Liar Mask anime size,no confident match found,https://osu.ppy.sh/beatmapsets/222671
"JO☆STARS ～TOMMY, Coda, JIN～",ジョジョ その血の記憶 ~end of THE WORLD~ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2480881
UVERworld,僕の言葉ではない これは僕達の言葉,no confident match found,https://osu.ppy.sh/beatmapsets/303319
赤沢泉美(CV.米澤 円),Responsibility Response,no confident match found,https://osu.ppy.sh/beatmapsets/495332
神代類 (CV: 土岐隼一),お気に召すまま (Game Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2175201
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Speed Up Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/984684
センチミリメンタル,キヅアト (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1188247
Hiroyuki Sawano feat. Mika Kobayashi,Bios,no confident match found,
FELT,from now on & Memories,no confident match found,https://osu.ppy.sh/beatmapsets/906578
Goose house,光るなら,no confident match found,https://osu.ppy.sh/beatmapsets/440169
シド,レイン,no confident match found,https://osu.ppy.sh/beatmapsets/655894
ヨルシカ,八月、某、月明かり,no confident match found,https://osu.ppy.sh/beatmapsets/2478914
MIMI feat. 初音ミク,哀の隙間,no confident match found,https://osu.ppy.sh/beatmapsets/952409
シド,乱舞のメロディ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/1189202
IA,Six Trillion Years and Overnight Story,no confident match found,
米津玄師,ピースサイン（TV edit.）,no confident match found,https://osu.ppy.sh/beatmapsets/593466
沼倉愛美、瀬戸麻沙美、渕上舞,Justability,no confident match found,https://osu.ppy.sh/beatmapsets/475886
綾倉盟,Close to you (and me),no confident match found,https://osu.ppy.sh/beatmapsets/790310
Tatsh,風姿華傳,no confident match found,https://osu.ppy.sh/beatmapsets/2436205
みゆな,ガムシャラ (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/858503
DECO*27,マシュマロ feat. 初音ミク,no confident match found,https://osu.ppy.sh/beatmapsets/2447154
ヨルシカ,春泥棒,no confident match found,https://osu.ppy.sh/beatmapsets/1348249
ギヴン,冬のはなし,no confident match found,https://osu.ppy.sh/beatmapsets/1188198
すりぃ,エゴロック long,no confident match found,https://osu.ppy.sh/beatmapsets/1205168
cYsmix,Peer Gynt,no confident match found,https://osu.ppy.sh/beatmapsets/880487
桐生一馬 (CV: 黒田崇矢),ばかみたい (Game Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2492756
LiSA,紅蓮華,no confident match found,https://osu.ppy.sh/beatmapsets/1025171
きただにひろし,ウィーゴー！(TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/787134
Various Artist,Long Stream Practice Maps 2,no confident match found,https://osu.ppy.sh/beatmapsets/76465
Raphlesia & BilliumMoto,My Love,no confident match found,https://osu.ppy.sh/beatmapsets/1388906
onoken,unisonote,no confident match found,https://osu.ppy.sh/beatmapsets/1276405
ななひら,チカっとチカ千花っ♡,no confident match found,https://osu.ppy.sh/beatmapsets/942642
いとうかなこ,ガラスのくつ,no confident match found,https://osu.ppy.sh/beatmapsets/585681
サニーデイ・サービス,心に雲を持つ少年,no confident match found,https://osu.ppy.sh/beatmapsets/2461997
ビートまりお,ナイト・オブ・ナイツ,no confident match found,https://osu.ppy.sh/beatmapsets/352570
Will Stetson,春待ちクローバー (Swing Arrangement) [Dictate Edit],no confident match found,https://osu.ppy.sh/beatmapsets/842412
楓刀京明雨葛,Q,no confident match found,https://osu.ppy.sh/beatmapsets/1316097
梅里,paranoia,no confident match found,https://osu.ppy.sh/beatmapsets/150914
KANA-BOON,シルエット,no confident match found,https://osu.ppy.sh/beatmapsets/399358
cYsmix,triangles,no confident match found,
Poppin'Party,光るなら,no confident match found,https://osu.ppy.sh/beatmapsets/611024
彩音,嘆きノ森,no confident match found,https://osu.ppy.sh/beatmapsets/1108479
MOB CHOIR feat. sajou no hana,99.9 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/915385
Taishi feat. 向日葵,Slow Step -First Love Comes Again-,no confident match found,https://osu.ppy.sh/beatmapsets/217033
kanone,The Sea of Memory,no confident match found,https://osu.ppy.sh/beatmapsets/395278
Memme,小籠包,no confident match found,https://osu.ppy.sh/beatmapsets/1151330
"RoughSketch feat.DD""ナカタ""Metal",VOICE OF TRUTH (vocals by あいかぴん),no confident match found,https://osu.ppy.sh/beatmapsets/262925
シド,嘘 (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/544412
ツユ,過去に囚われている,no confident match found,https://osu.ppy.sh/beatmapsets/1245686
SIX LOUNGE,言葉にせずとも (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/2260384
07th Expansion,Eiji Kuinbii,no confident match found,
キネマ106,銃爆,no confident match found,https://osu.ppy.sh/beatmapsets/2406365
the peggies,君のせい (TV Size),no confident match found,https://osu.ppy.sh/beatmapsets/865746
Treyarch Sound,Abracadavre,no confident match found,https://osu.ppy.sh/beatmapsets/406273
暁Records,ENDLESS FANTASY,no confident match found,https://osu.ppy.sh/beatmapsets/898849
暁Records,ENDLESS FANTASY (Short Ver.),no confident match found,https://osu.ppy.sh/beatmapsets/2478777
Various Artist,Long Stream Practice Maps,no confident match found,https://osu.ppy.sh/beatmapsets/72474
rei sirose,ロストアンブレラ,no confident match found,https://osu.ppy.sh/beatmapsets/1340777
Слава,Oдиночество (Хардстайл Ремикс),no confident match found,https://osu.ppy.sh/beatmapsets/2332321
